RowLabel,ColLabel,Value,x,y
action,action,0.5875594615936279,0,0
action,animals,0.3549025356769562,1,0
action,artifact,0.31901276111602783,2,0
action,body,0.43783053755760193,3,0
action,cognition,0.381008505821228,4,0
action,colors,0.3630797564983368,5,0
action,conflict,0.5141781568527222,6,0
action,evaluative.negative,0.4826333522796631,7,0
action,evaluative.positive,0.5137625336647034,8,0
action,exchange,0.4723544418811798,9,0
action,kinship,0.45565012097358704,10,0
action,medicine,0.4695899784564972,11,0
action,movement,0.511877715587616,12,0
action,person,0.3524835705757141,13,0
action,place,0.3096022307872772,14,0
action,plants_and_food,0.38522520661354065,15,0
action,quantity,0.35565823316574097,16,0
action,relational,0.47495949268341064,17,0
action,sense.auditory,0.47353649139404297,18,0
action,sense.visual,0.40366819500923157,19,0
action,shapes,0.36872467398643494,20,0
action,size,0.45355135202407837,21,0
action,spatial,0.40618813037872314,22,0
action,substance,0.38284263014793396,23,0
action,temperature,0.3909447193145752,24,0
action,time.period,0.40692606568336487,25,0
action,time.relative,0.469832181930542,26,0
animals,action,0.3549025356769562,0,1
animals,animals,0.7462030649185181,1,1
animals,artifact,0.4616110920906067,2,1
animals,body,0.4599016606807709,3,1
animals,cognition,0.26480793952941895,4,1
animals,colors,0.5429379940032959,5,1
animals,conflict,0.46596479415893555,6,1
animals,evaluative.negative,0.40797486901283264,7,1
animals,evaluative.positive,0.4736688733100891,8,1
animals,exchange,0.34935200214385986,9,1
animals,kinship,0.42011454701423645,10,1
animals,medicine,0.4269281029701233,11,1
animals,movement,0.35044732689857483,12,1
animals,person,0.35827863216400146,13,1
animals,place,0.351526141166687,14,1
animals,plants_and_food,0.5291991829872131,15,1
animals,quantity,0.35555514693260193,16,1
animals,relational,0.28722822666168213,17,1
animals,sense.auditory,0.3645365536212921,18,1
animals,sense.visual,0.39563021063804626,19,1
animals,shapes,0.4601275622844696,20,1
animals,size,0.44091737270355225,21,1
animals,spatial,0.43456918001174927,22,1
animals,substance,0.5127046704292297,23,1
animals,temperature,0.4220661222934723,24,1
animals,time.period,0.3558832108974457,25,1
animals,time.relative,0.28715795278549194,26,1
artifact,action,0.31901276111602783,0,2
artifact,animals,0.4616110920906067,1,2
artifact,artifact,0.7129051685333252,2,2
artifact,body,0.5517719388008118,3,2
artifact,cognition,0.4431402087211609,4,2
artifact,colors,0.48194974660873413,5,2
artifact,conflict,0.46770527958869934,6,2
artifact,evaluative.negative,0.4640668034553528,7,2
artifact,evaluative.positive,0.4711308181285858,8,2
artifact,exchange,0.4932386577129364,9,2
artifact,kinship,0.26678672432899475,10,2
artifact,medicine,0.45645442605018616,11,2
artifact,movement,0.5264008045196533,12,2
