RowLabel,ColLabel,Value,x,y
action,action,0.4058777093887329,0,0
action,animals,0.04800207167863846,1,0
action,artifact,0.052939366549253464,2,0
action,body,0.10885287076234818,3,0
action,cognition,0.11280778050422668,4,0
action,colors,0.06820113211870193,5,0
action,conflict,0.15547552704811096,6,0
action,evaluative.negative,0.10986356437206268,7,0
action,evaluative.positive,0.18309833109378815,8,0
action,exchange,0.19727736711502075,9,0
action,kinship,0.12767522037029266,10,0
action,medicine,0.11574934422969818,11,0
action,movement,0.25867074728012085,12,0
action,person,0.10276763886213303,13,0
action,place,0.11619388312101364,14,0
action,plants_and_food,0.062462083995342255,15,0
action,quantity,0.1272614300251007,16,0
action,relational,0.11781321465969086,17,0
action,sense.auditory,0.199965700507164,18,0
action,sense.visual,0.18384891748428345,19,0
action,shapes,0.07115110754966736,20,0
action,size,0.12248620390892029,21,0
action,spatial,0.12219517678022385,22,0
action,substance,0.06624753773212433,23,0
action,temperature,0.128514364361763,24,0
action,time.period,0.07927974313497543,25,0
action,time.relative,0.1487383097410202,26,0
animals,action,0.04800207167863846,0,1
animals,animals,0.5864468812942505,1,1
animals,artifact,0.1003563180565834,2,1
animals,body,0.13038399815559387,3,1
animals,cognition,0.07422339916229248,4,1
animals,colors,0.0891541913151741,5,1
animals,conflict,0.10483525693416595,6,1
animals,evaluative.negative,0.07093015313148499,7,1
animals,evaluative.positive,0.06946238875389099,8,1
animals,exchange,0.02449997514486313,9,1
animals,kinship,0.11529099941253662,10,1
animals,medicine,0.08868031203746796,11,1
animals,movement,0.03877555578947067,12,1
animals,person,0.1588834524154663,13,1
animals,place,0.08352062106132507,14,1
animals,plants_and_food,0.19854822754859924,15,1
animals,quantity,0.06378518044948578,16,1
animals,relational,0.05286560207605362,17,1
animals,sense.auditory,0.08095967769622803,18,1
animals,sense.visual,0.0655190497636795,19,1
animals,shapes,0.09350927174091339,20,1
animals,size,0.08268985152244568,21,1
animals,spatial,0.05015060305595398,22,1
animals,substance,0.139998659491539,23,1
animals,temperature,0.09405337274074554,24,1
animals,time.period,0.03804034739732742,25,1
animals,time.relative,0.035089656710624695,26,1
artifact,action,0.052939366549253464,0,2
artifact,animals,0.1003563180565834,1,2
artifact,artifact,0.35953426361083984,2,2
artifact,body,0.12438854575157166,3,2
artifact,cognition,0.11340346932411194,4,2
artifact,colors,0.1287643313407898,5,2
artifact,conflict,0.06439939141273499,6,2
artifact,evaluative.negative,0.0614728145301342,7,2
artifact,evaluative.positive,0.07896937429904938,8,2
artifact,exchange,0.05282895267009735,9,2
artifact,kinship,0.05688571184873581,10,2
artifact,medicine,0.07089470326900482,11,2
artifact,movement,0.03685937076807022,12,2
artifact,person,0.08597519993782043,13,2
artifact,place,0.12885260581970215,14,2
artifact,plants_and_food,0.13544677197933197,15,2
artifact,quantity,0.05974019318819046,16,2
artifact,relational,0.04332243278622627,17,2
artifact,sense.auditory,0.052543602883815765,18,2
artifact,sense.visual,0.09313546121120453,19,2
artifact,shapes,0.12900564074516296,20,2
artifact,size,0.06207234784960747,21,2
artifact,spatial,0.11776450276374817,22,2
artifact,substance,0.1424521803855896,23,2
artifact,temperature,0.08713242411613464,24,2
artifact,time.period,0.06978613138198853,25,2
artifact,time.relative,0.04820223152637482,26,2
body,action,0.10885287076234818,0,3
body,animals,0.13038399815559387,1,3
body,artifact,0.12438854575157166,2,3
body,body,0.3390013575553894,3,3
body,cognition,0.09456130862236023,4,3
body,colors,0.10359509289264679,5,3
body,conflict,0.09387935698032379,6,3
body,evaluative.negative,0.0971020758152008,7,3
body,evaluative.positive,0.07910642772912979,8,3
body,exchange,0.06943203508853912,9,3
body,kinship,0.11008482426404953,10,3
body,medicine,0.12458842992782593,11,3
body,movement,0.10818450152873993,12,3
body,person,0.0855618342757225,13,3
body,place,0.10204675793647766,14,3
body,plants_and_food,0.07485099881887436,15,3
body,quantity,0.07350863516330719,16,3
body,relational,0.07306496053934097,17,3
body,sense.auditory,0.07892437279224396,18,3
body,sense.visual,0.13270193338394165,19,3
body,shapes,0.13819730281829834,20,3
body,size,0.08828932791948318,21,3
body,spatial,0.1648421287536621,22,3
body,substance,0.11532477289438248,23,3
body,temperature,0.11232538521289825,24,3
body,time.period,0.07125555723905563,25,3
body,time.relative,0.10014241933822632,26,3
cognition,action,0.11280778050422668,0,4
cognition,animals,0.07422339916229248,1,4
cognition,artifact,0.11340346932411194,2,4
cognition,body,0.09456130862236023,3,4
cognition,cognition,0.29068723320961,4,4
cognition,colors,0.05750773102045059,5,4
cognition,conflict,0.07488694787025452,6,4
cognition,evaluative.negative,0.0650549978017807,7,4
cognition,evaluative.positive,0.08729156851768494,8,4
cognition,exchange,0.08995997905731201,9,4
cognition,kinship,0.09053655713796616,10,4
cognition,medicine,0.10781347751617432,11,4
cognition,movement,0.06587742269039154,12,4
cognition,person,0.12503503262996674,13,4
cognition,place,0.11368913948535919,14,4
cognition,plants_and_food,0.07645435631275177,15,4
cognition,quantity,0.0886690616607666,16,4
cognition,relational,0.07389302551746368,17,4
cognition,sense.auditory,0.08893203735351562,18,4
cognition,sense.visual,0.15886639058589935,19,4
cognition,shapes,0.07129757106304169,20,4
cognition,size,0.06306293606758118,21,4
cognition,spatial,0.06739448755979538,22,4
cognition,substance,0.07132436335086823,23,4
cognition,temperature,0.0418742299079895,24,4
cognition,time.period,0.08804381638765335,25,4
cognition,time.relative,0.09280054271221161,26,4
colors,action,0.06820113211870193,0,5
colors,animals,0.0891541913151741,1,5
colors,artifact,0.1287643313407898,2,5
colors,body,0.10359509289264679,3,5
colors,cognition,0.05750773102045059,4,5
colors,colors,0.6315738558769226,5,5
colors,conflict,0.0963817611336708,6,5
colors,evaluative.negative,0.09443562477827072,7,5
colors,evaluative.positive,0.11675896495580673,8,5
colors,exchange,0.06090553477406502,9,5
colors,kinship,0.09520693868398666,10,5
colors,medicine,0.03576493263244629,11,5
colors,movement,0.0728866308927536,12,5
colors,person,0.060132138431072235,13,5
colors,place,0.07437124848365784,14,5
colors,plants_and_food,0.11488182097673416,15,5
colors,quantity,0.10743366926908493,16,5
colors,relational,0.11834502965211868,17,5
colors,sense.auditory,0.05658945441246033,18,5
colors,sense.visual,0.1652001589536667,19,5
colors,shapes,0.13797664642333984,20,5
colors,size,0.14326313138008118,21,5
colors,spatial,0.15290024876594543,22,5
colors,substance,0.14600075781345367,23,5
colors,temperature,0.17174458503723145,24,5
colors,time.period,0.08307492733001709,25,5
colors,time.relative,0.0773550271987915,26,5
conflict,action,0.15547552704811096,0,6
conflict,animals,0.10483525693416595,1,6
conflict,artifact,0.06439939141273499,2,6
conflict,body,0.09387935698032379,3,6
conflict,cognition,0.07488694787025452,4,6
conflict,colors,0.0963817611336708,5,6
conflict,conflict,0.3030080497264862,6,6
conflict,evaluative.negative,0.12758298218250275,7,6
conflict,evaluative.positive,0.09669089317321777,8,6
conflict,exchange,0.12355988472700119,9,6
conflict,kinship,0.09981145709753036,10,6
conflict,medicine,0.10492756217718124,11,6
conflict,movement,0.17736811935901642,12,6
conflict,person,0.09213019907474518,13,6
conflict,place,0.10496074706315994,14,6
conflict,plants_and_food,0.08047132194042206,15,6
conflict,quantity,0.09662734717130661,16,6
conflict,relational,0.07839149236679077,17,6
conflict,sense.auditory,0.08196842670440674,18,6
conflict,sense.visual,0.10256709158420563,19,6
conflict,shapes,0.094809390604496,20,6
conflict,size,0.09952236711978912,21,6
conflict,spatial,0.0982055738568306,22,6
conflict,substance,0.06589862704277039,23,6
conflict,temperature,0.11268676072359085,24,6
conflict,time.period,0.1069231778383255,25,6
conflict,time.relative,0.09452582150697708,26,6
evaluative.negative,action,0.10986356437206268,0,7
evaluative.negative,animals,0.07093015313148499,1,7
